hex_id,total_population
8941037936bffff,375.0
8941037933bffff,375.0
8941037930bffff,375.0
8941037932bffff,375.0
8941037939bffff,375.0
8941037932fffff,375.0
89411cb6d1bffff,375.0
89411cb681bffff,375.0
89411cb6d93ffff,375.0
89411cb68d7ffff,375.0
89411cb6c07ffff,375.0
89411cb6ca3ffff,375.0
89410379067ffff,375.0
89411cb6c0bffff,375.0
89410379237ffff,375.0
8941037934bffff,375.0
8941037906fffff,375.0
89411cb6a13ffff,375.0
8941037906bffff,375.0
89410379333ffff,375.0
894103792b7ffff,375.0
89411cb6897ffff,375.0
89411cb68b3ffff,375.0
89411cb6c3bffff,375.0
89411cb6847ffff,375.0
89410379063ffff,375.0
89411cb68bbffff,375.0
89411cb680fffff,375.0
89411cb6c2bffff,375.0
89411cb6817ffff,375.0
89411cb45afffff,375.0
89411cb45abffff,375.0
89411cb6577ffff,375.0
89411cb60a7ffff,375.0
89410379e83ffff,375.0
89410379c73ffff,375.0
89411cb6d07ffff,375.0
89411cb6ac3ffff,375.0
89411cb6a97ffff,375.0
8941037921bffff,375.0
89411cb61bbffff,375.0
89411cb4533ffff,375.0
89411cb451bffff,375.0
89411cb652bffff,375.0
89411cb4503ffff,375.0
89411cb6563ffff,375.0
89411cb6527ffff,375.0
89411cb4513ffff,375.0
89411cb650bffff,375.0
89411cb68a7ffff,375.0
89411cb69cfffff,375.0
89410379e6bffff,375.0
89411cb6d17ffff,375.0
89411cb6d0bffff,375.0
89411cb6e0fffff,375.0
89411cb61a3ffff,375.0
89411cb6cdbffff,375.0
89411cb6e33ffff,375.0
89411cb6c17ffff,375.0
89411cb68c3ffff,375.0
89411cb6c7bffff,375.0
89411cb6813ffff,375.0
894103793dbffff,375.0
894103793c7ffff,375.0
8941037923bffff,375.0
894103792b3ffff,375.0
89411cb6857ffff,375.0
89411cb6c4fffff,375.0
89411cb6e27ffff,375.0
89411cb6a83ffff,375.0
894103792abffff,375.0
8941037924fffff,375.0
89411cb453bffff,375.0
89411cb6ccbffff,375.0
89411cb6e97ffff,375.0
89411cb6c03ffff,375.0
89411cb6c47ffff,375.0
89410379357ffff,375.0
894103792bbffff,375.0
89411cb6cabffff,375.0
8941037962fffff,375.0
8941037926fffff,375.0
89411cb6113ffff,375.0
8941037936fffff,375.0
89411cb6853ffff,375.0
89410379337ffff,375.0
89411cb6a9bffff,375.0
89411cb682fffff,375.0
89411cb6d3bffff,375.0
89410379e07ffff,375.0
8941037934fffff,375.0
89410379ecfffff,375.0
89411cb6d83ffff,375.0
89411cb6d4fffff,375.0
89410379377ffff,375.0
89411cb6d57ffff,375.0
89410379373ffff,375.0
89411cb6d97ffff,375.0
89410379343ffff,375.0
89411cb6843ffff,375.0
89411cb6807ffff,375.0
89411cb6c33ffff,375.0
89411cb6d53ffff,375.0
89411cb6d5bffff,375.0
89410379e2bffff,375.0
89411cb6c37ffff,375.0
89411cb6dcbffff,375.0
89411cb6883ffff,375.0
89411cb6d6fffff,375.0
89410379a0bffff,375.0
89411c8186fffff,375.0
89411cb6ea7ffff,375.0
89411cb4527ffff,375.0
89411cb6a53ffff,375.0
89411cb6e17ffff,375.0
89411cb6c57ffff,375.0
89411cb6c13ffff,375.0
89411cb6c63ffff,375.0
894103793d7ffff,375.0
8941037907bffff,375.0
89410379213ffff,375.0
89411cb6e87ffff,375.0
8941037b3a7ffff,375.0
8941037925bffff,375.0
89411cb652fffff,375.0
89411cb450bffff,375.0
89411cb6187ffff,375.0
89411cb6137ffff,375.0
894103792cfffff,375.0
89411cb6523ffff,375.0
89411cb6e77ffff,375.0
89411cb6573ffff,375.0
89410379ac3ffff,375.0
89410379a97ffff,375.0
894103792afffff,375.0
89411cb6e23ffff,375.0
89411cb68c7ffff,375.0
89411cb6e67ffff,375.0
89411cb6c43ffff,375.0
89411cb6cbbffff,375.0
89411cb68cbffff,375.0
89410379277ffff,375.0
89411cb6a57ffff,375.0
89411cb684fffff,375.0
89411cb6eb3ffff,375.0
89410379247ffff,375.0
894103792cbffff,375.0
89411cb619bffff,375.0
89411cb6ccfffff,375.0
89410379253ffff,375.0
89411cb6c9bffff,375.0
89411cb4507ffff,375.0
89411cb4537ffff,375.0
89411cb61afffff,375.0
8941037920bffff,375.0
89411cb6133ffff,375.0
8941037926bffff,375.0
89411cb6c53ffff,375.0
89410379263ffff,375.0
8941037963bffff,375.0
89411cb650fffff,375.0
89411cb689bffff,375.0
89410379073ffff,375.0
89410379223ffff,375.0
89411cb45b7ffff,375.0
89411cb45a3ffff,375.0
89411cb45b3ffff,375.0
89411cb6127ffff,375.0
89411cb6eb7ffff,375.0
89411cb6c8bffff,375.0
89410379207ffff,375.0
89411cb618fffff,375.0
89411cb6a8fffff,375.0
8941037904bffff,375.0
89411cb6123ffff,375.0
89411cb6e6bffff,375.0
89411cb653bffff,375.0
89411cb656fffff,375.0
89411cb6533ffff,375.0
89411cb656bffff,375.0
89411cb6a87ffff,375.0
89411cb6e07ffff,375.0
8941037922bffff,375.0
89410379043ffff,375.0
89410379d5bffff,376.0
894103798d7ffff,376.0
8941037980fffff,376.0
89410379e6fffff,376.0
89411c80d43ffff,376.0
8941037984fffff,376.0
894103798c7ffff,376.0
89410379807ffff,376.0
89410379883ffff,376.0
89410379a8fffff,376.0
89410379e23ffff,376.0
89410379843ffff,376.0
89410379bd3ffff,376.0
8941037981bffff,376.0
89410379a13ffff,376.0
89410379eb7ffff,376.0
894103798bbffff,376.0
89410379a03ffff,376.0
89410379c7bffff,376.0
89410379c2bffff,376.0
89410379813ffff,376.0
89410379a0fffff,376.0
89410379857ffff,376.0
89411cb6da7ffff,376.0
894103798c3ffff,376.0
89410379817ffff,376.0
89410379e33ffff,376.0
89410379867ffff,376.0
89410379877ffff,376.0
89410379803ffff,376.0
8941037984bffff,376.0
89410379e27ffff,376.0
8941037989bffff,376.0
89410379a93ffff,376.0
89410379e8bffff,376.0
89410379c6bffff,376.0
89410379a8bffff,376.0
8941037983bffff,376.0
89410379a17ffff,376.0
8941037985bffff,376.0
89410379887ffff,376.0
89410379ab3ffff,376.0
8941037980bffff,376.0
89410379eabffff,376.0
894103798dbffff,376.0
89410379ea7ffff,376.0
89410379acfffff,376.0
89410379853ffff,376.0
89410379e17ffff,376.0
8941037987bffff,376.0
894103798b3ffff,376.0
8941037988bffff,376.0
89410379c2fffff,376.0
89410379adbffff,376.0
89411cb6db7ffff,376.0
89410379a1bffff,376.0
89410379c6fffff,376.0
89410379c67ffff,376.0
894103798cfffff,376.0
89410379863ffff,376.0
89410379d4bffff,376.0
8941037982bffff,376.0
894103798cbffff,376.0
89410379a87ffff,376.0
89410379eb3ffff,376.0
89410379897ffff,376.0
89410379847ffff,376.0
89410379ad7ffff,376.0
89410379873ffff,376.0
89410379893ffff,376.0
89410379a9bffff,376.0
89410379abbffff,376.0
8941037986fffff,376.0
8941037988fffff,376.0
89411c80953ffff,380.0
89411c81e67ffff,381.0
89411c82bcbffff,383.0
89411c876afffff,383.0
89411c8015bffff,384.0
89411c82b63ffff,385.0
89411c81eabffff,386.0
89411c872dbffff,386.0
89411c809afffff,387.0
89411c8704bffff,387.0
89411cb654fffff,387.0
89411c81d87ffff,388.0
89411c87663ffff,389.0
89411c82a7bffff,389.0
89411c87253ffff,389.0
89411c803a7ffff,390.0
89411c818cfffff,390.0
89411c81d33ffff,390.0
89411c81823ffff,390.0
89411c818a3ffff,390.0
89411c818afffff,390.0
89411c81d4bffff,390.0
89411c80327ffff,390.0
89411c803b3ffff,390.0
89411c80e4fffff,390.0
89411c818bbffff,390.0
89411c80323ffff,390.0
89411c80333ffff,390.0
89411c80edbffff,390.0
89411c81873ffff,390.0
89411c81e37ffff,390.0
89411c81863ffff,390.0
89411c81e2bffff,390.0
89411c801cbffff,390.0
89411c8188fffff,390.0
89411c8016fffff,390.0
89411c81da3ffff,390.0
89411c81ea3ffff,390.0
89411c809bbffff,390.0
89411c81a97ffff,390.0
89411c8181bffff,390.0
89411c80383ffff,390.0
89411c8180fffff,390.0
89411c803a3ffff,390.0
89411c803bbffff,390.0
89411c8187bffff,390.0
89411c81887ffff,390.0
89411c81d7bffff,390.0
89411c8038fffff,390.0
89411c80307ffff,390.0
89411c81853ffff,390.0
89411c81a93ffff,390.0
89411c81e77ffff,390.0
89411c87297ffff,390.0
89411c856c3ffff,390.0
89411c81e33ffff,390.0
89411c81803ffff,390.0
89411c81877ffff,390.0
89411c81e27ffff,390.0
89411c81813ffff,390.0
89411c818abffff,390.0
89411c818c3ffff,390.0
89411c81817ffff,390.0
89411c81857ffff,390.0
89411c81867ffff,390.0
89411c87683ffff,390.0
89411c81c5bffff,390.0
89411c81e2fffff,390.0
89411c81b9bffff,390.0
89411c80ecfffff,390.0
89411c81c4bffff,390.0
89411c818a7ffff,390.0
89411c81d0bffff,390.0
89411c818b3ffff,390.0
89411c8032bffff,390.0
89411c8012fffff,390.0
89411c81843ffff,390.0
89411c8184fffff,390.0
89411c81e23ffff,390.0
89411c81d4fffff,390.0
89411c80177ffff,390.0
89411c80303ffff,390.0
89411c81eafffff,390.0
89411c818dbffff,390.0
89411c8184bffff,390.0
89411c8188bffff,390.0
89411c81d77ffff,390.0
89411c81db3ffff,390.0
89411c80ed7ffff,390.0
89411c81eb3ffff,390.0
89411c818cbffff,390.0
89411c81833ffff,390.0
89411c8186bffff,390.0
89411c81847ffff,390.0
89411c8183bffff,390.0
89411c81d07ffff,390.0
89411c81d0fffff,390.0
89411c80ea3ffff,390.0
89411c81d97ffff,390.0
89411c80317ffff,390.0
89411c81807ffff,390.0
89411c8032fffff,390.0
89411c80387ffff,390.0
89411c818c7ffff,390.0
89411c80313ffff,390.0
89411c8185bffff,390.0
89411c80e5bffff,390.0
89411c803abffff,390.0
89411c8033bffff,390.0
89411c803b7ffff,390.0
89411c80337ffff,390.0
89411c81d17ffff,390.0
89411c8180bffff,390.0
89411c876bbffff,391.0
89411c872c3ffff,391.0
89411c872d3ffff,391.0
89411c8e5c3ffff,391.0
89411c8720bffff,391.0
89411c8e50bffff,391.0
89411c80b93ffff,391.0
89411c80b63ffff,391.0
89411c80da7ffff,391.0
89411c8e5c7ffff,391.0
89411c82887ffff,391.0
89411c80873ffff,391.0
89411c8088fffff,391.0
89411c82b4bffff,391.0
89411c80b33ffff,391.0
89411c80a37ffff,391.0
89411c80a33ffff,391.0
89411c8086fffff,391.0
89411c8e5d7ffff,391.0
89411c8082fffff,391.0
89411c85653ffff,391.0
89411c8e553ffff,391.0
89411c8766bffff,391.0
89411c854b3ffff,391.0
89411c8563bffff,391.0
89411c85673ffff,391.0
89411c85647ffff,391.0
89411c80bcbffff,391.0
89411c87247ffff,391.0
89411c8726bffff,391.0
89411c8e59bffff,391.0
89411c872bbffff,391.0
89411c852c3ffff,391.0
89411c852d3ffff,391.0
89411c85683ffff,391.0
89411c872b3ffff,391.0
89411c8724fffff,391.0
89411c8568bffff,391.0
89411c8e597ffff,391.0
89411c80b23ffff,391.0
89411c8566bffff,391.0
89411c8e49bffff,391.0
89411c80163ffff,391.0
89411c82bc3ffff,391.0
89411c80cc3ffff,391.0
89411c80c33ffff,391.0
89411c80c8bffff,391.0
89411c82a6fffff,391.0
89411c80a8fffff,391.0
89411c80aabffff,391.0
89411c8016bffff,391.0
89411c80e6bffff,391.0
89411c81da7ffff,391.0
89411c80e43ffff,391.0
89411c80ad7ffff,391.0
89411c81d47ffff,391.0
89411c80ed3ffff,391.0
89411c80e67ffff,391.0
89411c80843ffff,391.0
89411c80e23ffff,391.0
89411c80127ffff,391.0
89411c80eb7ffff,391.0
89411c8e4d7ffff,391.0
89411c80167ffff,391.0
89411c80acbffff,391.0
89411c8012bffff,391.0
89411c80123ffff,391.0
89411c80abbffff,391.0
89411c80e83ffff,391.0
89411c80cc7ffff,391.0
89411c80c73ffff,391.0
89411c80e2fffff,391.0
89411c80e37ffff,391.0
89411c82b5bffff,391.0
89411c80b7bffff,391.0
